"Ticker","Source","Status"
"BTC","btc.svg","COPIED"
"ETH","eth.svg","COPIED"
"BNB","bnb.svg","COPIED"
"SOL","sol.svg","COPIED"
"XRP","xrp.svg","COPIED"
"ADA","ada.svg","COPIED"
"AVAX","avax.svg","COPIED"
"DOGE","doge.svg","COPIED"
"TRX","trx.svg","COPIED"
"LINK","link.svg","COPIED"
"DOT","dot.svg","COPIED"
"MATIC","matic.svg","COPIED"
"TON","","NOT FOUND"
"ICP","icp.svg","COPIED"
"SHIB","","NOT FOUND"
"LTC","ltc.svg","COPIED"
"BCH","bch.svg","COPIED"
"UNI","uni.svg","COPIED"
"ETC","etc.svg","COPIED"
"LEO","leo.svg","COPIED"
"ATOM","atom.svg","COPIED"
"XLM","xlm.svg","COPIED"
"NEAR","","NOT FOUND"
"APT","","NOT FOUND"
"OKB","","NOT FOUND"
"FIL","fil.svg","COPIED"
"LDO","","NOT FOUND"
"HBAR","","NOT FOUND"
"XMR","xmr.svg","COPIED"
"CRO","","NOT FOUND"
"VET","vet.svg","COPIED"
